games_played,player_efficiency_rating,offensive_plus_minus,value_over_replace_player,three_pointer_made_per_game,three_pointer_attempts_per_game,two_pointer_made_per_game,two_pointer_attempts_per_game,free_throw_made_per_game,free_throw_attempts_per_game,defensive_rebound_per_game,assists_per_game,steals_per_game,turnovers_per_game,points_per_game,position_PF,position_PG,position_SF,position_SG,conference_WEST,starter,win_shares
80,8.3,-3.1,-1.0302199774901568,-0.8209196610201621,-0.8307877025253705,-0.4972677089106812,-0.5373438047572228,-0.4090284786141104,-0.3373052200947663,3.5,0.8,0.5,0.9,4.5,0,0,0,0,0,1,1.6
79,15.4,1.8,1.7003012139698492,2.1975195666813963,2.2548501430767556,0.20907077937697843,0.4405157357454881,1.4342416163022105,1.1960802770082763,2.2,6.3,1.5,1.8,15.5,0,1,0,0,1,1,6.9
78,15.8,1.0,0.7901274834831805,-0.2172318154798505,-0.20223184508790043,1.4044128364791717,1.3097242161923426,0.7430153307085902,0.7667323378194243,2.4,1.9,0.4,1.6,14.1,0,0,1,0,0,1,5.7
75,16.1,1.2,1.2865858819304543,1.2919877983709285,1.3405870777131628,1.458746566347453,1.6356773963599127,1.1270299338161571,0.9507385974717896,3.4,6.0,1.5,2.5,17.9,0,1,0,0,1,1,4.8
82,14.1,-0.6,-0.20278931341136713,-0.6699976996350843,-0.5450804945992478,0.9697429975329197,0.9566082710108079,-0.17861971674957025,-0.2759698002106446,2.7,1.7,0.7,1.2,10.5,1,0,0,0,0,1,3.1
41,18.7,1.2,-0.20278931341136713,-0.5190757382500063,-0.6022219361844723,-0.6602688985155257,-0.7274831598549723,-0.48583139923562374,-0.7053177393994966,0.6,1.0,0.4,0.4,4.1,0,1,0,0,1,0,0.9
63,8.4,-4.2,-0.9474769110822778,-0.8209196610201621,-0.8307877025253705,-0.4972677089106812,-0.4830182747292944,-0.8698460023431905,-0.82798857916774,1.4,0.4,0.3,0.4,3.7,0,0,0,1,1,1,0.2
60,13.0,-2.8,-0.9474769110822778,-0.8209196610201621,-0.8879291441105951,0.589406888454949,0.46767850075945244,-0.02501387550654354,0.46005523839881574,4.4,0.4,0.5,1.3,8.8,1,0,0,0,0,1,2.0
81,14.9,0.0,-0.03730318059560918,-0.8209196610201621,-0.773646260940146,1.0784104572694824,0.983771036024772,0.5894094894655633,0.7667323378194243,2.6,1.5,0.9,1.7,11.5,0,0,0,1,0,1,1.8
54,13.3,0.6,-0.12004624700348814,0.23553406867538315,0.19775824600867145,-0.9319375478569333,-0.9176225149527215,-0.9466489229647039,-1.0119948388201052,1.7,1.0,0.4,0.5,4.3,1,0,0,0,0,1,1.0
78,13.9,-0.8,-0.20278931341136713,-0.8209196610201621,-0.7165048193549214,1.1870779170060455,1.3640497462202708,0.43580364822253675,0.27604897874645073,2.7,1.8,0.9,1.0,11.9,0,0,1,0,0,1,3.8
82,15.2,0.5,1.5348150811540913,-0.6699976996350843,-0.7165048193549214,2.0564175948985497,2.0159561065554117,0.8198182513301037,0.8894031775876677,3.1,4.4,1.4,2.4,15.7,0,0,0,1,1,1,6.5
72,17.3,1.2,-0.2855323798192461,-0.8209196610201621,-0.8879291441105951,0.31773823911354154,0.277539145661703,0.5894094894655633,0.7053969179353028,2.4,0.6,0.3,0.7,8.7,0,0,1,0,0,1,3.3
81,11.9,-1.7,-0.6992477118586409,-0.8209196610201621,-0.8307877025253705,-0.17126532970099223,-0.18422785957568835,-0.48583139923562374,-0.6439823195153749,1.0,2.5,0.6,1.0,5.6,0,1,0,0,0,1,1.7
54,10.8,-1.0,-0.3682754462271251,-0.8209196610201621,-0.7165048193549214,-0.4429339790423997,-0.4830182747292944,-0.7930430817216773,-0.82798857916774,1.2,5.5,0.7,1.7,4.3,0,1,0,0,0,1,1.1
82,13.4,-0.6,-0.03730318059560918,-0.8209196610201621,-0.8307877025253705,1.6760814858205793,1.7171656914018054,0.8966211719516171,0.8894031775876677,3.6,1.7,0.4,1.7,14.2,0,0,1,0,1,1,4.6
52,7.6,-4.8,-0.9474769110822778,-0.8209196610201621,-0.8879291441105951,-0.6059351686472442,-0.6459948648130796,-0.4090284786141104,0.030707299209963946,1.4,0.3,0.3,0.8,4.0,1,0,0,0,1,1,0.1
81,12.8,0.8,0.04543988581226978,0.9901438756007727,0.769172661860917,-0.06259786996442912,0.19605085061981048,-0.33222555799259695,-0.3986406399788881,1.2,2.5,0.7,1.5,9.7,0,1,0,0,1,1,1.8
60,12.6,-0.8,-0.78199077826652,-0.8209196610201621,-0.773646260940146,1.0784104572694824,0.9294455059968437,0.12859196573648315,0.1533781389782072,1.2,2.6,0.5,1.5,10.9,0,0,0,1,0,1,1.7
59,12.2,-1.2,-0.12004624700348814,-0.8209196610201621,-0.8307877025253705,-0.5516014387789626,-0.7274831598549723,-0.48583139923562374,-0.3986406399788881,1.4,0.6,0.6,0.5,4.1,0,0,0,1,1,1,1.9
42,9.5,-6.6,-0.6992477118586409,-0.8209196610201621,-0.8307877025253705,-0.7146026283838072,-0.7274831598549723,-1.0234518435862174,-0.9506594189359834,1.0,0.1,0.1,0.5,2.8,0,0,0,0,0,0,-0.1
71,16.7,-0.5,1.2865858819304543,-0.8209196610201621,-0.8879291441105951,1.35007910661089,1.146747626108557,1.357438695680697,1.5027573764288849,7.1,2.2,0.8,2.6,13.5,0,0,0,0,1,1,5.4
